Company,Month,Day,YR,Grade,QTY,OD_or_H,ID_or_W,Len,Cond,Shape,Pounds Shipped,Sales,Salesperson,Customer Part #,Item,SO #,cut,M
Company-45,7,8,2020,G2P,10,4.5,3.5,72,A/C,CAST DURA-TUBE,1542,1697,Salesperson12,D0526934,D0526934,10656,,M
Company-25,3,26,2020,G2P,17,6.375,5.375,72,A/C,CAST DURA-TUBE,4966,4718,Salesperson11,D0553031,D0553031,2646,,M
Company-25,6,8,2020,G2P,17,6.375,5.375,72,A/C,CAST DURA-TUBE,4018,4718,Salesperson11,D0553031,D0553031,8457,,M
Company-25,6,22,2020,G2P,17,6.375,5.375,72,A/C,CAST DURA-TUBE,4975,5406,Salesperson11,D0553031,D0553031,9542,,M
Company-359,7,1,2020,4512HRDS,15,1.125,1.375,16.375,A/C,RECT,105,175,Salesperson13,393468,393468,10289,SAW CUT,
Company-359,7,1,2020,4512HRDS,45,1.125,1.375,32.75,A/C,RECT,568,983,Salesperson13,393467,393467,10289,SAW CUT,
Company-359,7,1,2020,4512HRDS,10,1.125,1.375,56.75,A/C,RECT,231,351,Salesperson13,393469,393469,10289,SAW CUT,
Company-535,5,28,2020,60-40-18,3,2.25,3.25,72,A/C,RECT,422,0,Salesperson5,387549,387549,7720,,M
Company-61,4,1,2020,60-40-18,1,6.25,8.25,72,A/C,RECT,1017,675,Salesperson12,381757,381757,78,,M
Company-3,5,14,2020,65-45-12,171,1.74,3.16,144,A/C,RECT,36395,22107,Salesperson2,61173,D0079240,6753,,M
Company-558,4,30,2020,65-45-12,10,2.15,2.93,3.07,A/C,RECT,53,113,Salesperson8,02-402736,D0580791,5681,SAW CUT,
Company-2,3,10,2020,65-45-12,36,2.15,2.93,74,A/C,RECT,6758,3133,Salesperson1,30102600,D0101303,694,,M
Company-1237,3,10,2020,65-45-12,1,2.15,2.93,74,A/C,RECT,122,95,Salesperson6,175,D0101303,814,,M
Company-1237,3,13,2020,65-45-12,8,2.15,2.93,74,A/C,RECT,994,764,Salesperson6,175,D0101303,1316,,M
Company-1237,3,30,2020,65-45-12,8,2.15,2.93,74,A/C,RECT,998,764,Salesperson6,175,D0101303,2991,,M
Company-1237,4,2,2020,65-45-12,2,2.15,2.93,74,A/C,RECT,250,191,Salesperson6,175,D0101303,3367,,M
Company-1237,4,6,2020,65-45-12,1,2.15,2.93,74,A/C,RECT,124,95,Salesperson6,175,D0101303,3629,,M
Company-1237,4,15,2020,65-45-12,2,2.15,2.93,74,A/C,RECT,252,191,Salesperson6,175,D0101303,4445,,M
Company-1237,4,17,2020,65-45-12,8,2.15,2.93,74,A/C,RECT,1008,764,Salesperson6,175,D0101303,4673,,M
Company-1237,5,4,2020,65-45-12,2,2.15,2.93,74,A/C,RECT,252,191,Salesperson6,175,D0101303,5887,,M
Company-1237,5,28,2020,65-45-12,7,2.15,2.93,74,A/C,RECT,886,668,Salesperson6,175,D0101303,7762,,M
Company-1237,6,2,2020,65-45-12,1,2.15,2.93,74,A/C,RECT,126,95,Salesperson6,175,D0101303,8027,,M
Company-1237,6,9,2020,65-45-12,3,2.15,2.93,74,A/C,RECT,378,286,Salesperson6,175,D0101303,8595,,M
Company-1237,6,11,2020,65-45-12,7,2.15,2.93,74,A/C,RECT,888,668,Salesperson6,175,D0101303,8839,,M
Company-1237,6,16,2020,65-45-12,3,2.15,2.93,74,A/C,RECT,382,286,Salesperson6,175,D0101303,9119,,M
Company-1237,6,18,2020,65-45-12,7,2.15,2.93,74,A/C,RECT,882,668,Salesperson6,175,D0101303,9395,,M
Company-1237,6,23,2020,65-45-12,1,2.15,2.93,74,A/C,RECT,126,95,Salesperson6,175,D0101303,9676,,M
Company-2,6,24,2020,65-45-12,18,2.15,2.93,74,A/C,RECT,2211,1567,Salesperson1,30102600,D0101303,9722,,M
Company-2,7,1,2020,65-45-12,18,2.15,2.93,74,A/C,RECT,2250,1567,Salesperson1,30102600,D0101303,10259,,M
Company-1237,7,13,2020,65-45-12,5,2.15,2.93,74,A/C,RECT,620,477,Salesperson6,175,D0101303,11037,,M
Company-1237,7,22,2020,65-45-12,8,2.15,2.93,74,A/C,RECT,1006,765,Salesperson6,175,D0101303,11873,,M
Company-2,7,29,2020,65-45-12,18,2.15,2.93,74,A/C,RECT,2250,1567,Salesperson1,30102600,D0101303,12296,,M
Company-2,7,30,2020,65-45-12,18,2.15,2.93,74,A/C,RECT,2255,1567,Salesperson1,30102600,D0101303,12455,,M
Company-1237,8,3,2020,65-45-12,1,2.15,2.93,74,A/C,RECT,126,95,Salesperson6,175,D0101303,12749,,M
Company-2,8,11,2020,65-45-12,18,2.15,2.93,74,A/C,RECT,2259,1567,Salesperson1,30102600,D0101303,13377,,M
Company-3,7,17,2020,65-45-12,84,2.15,2.93,144,A/C,RECT,20414,12451,Salesperson2,61884-12',D0430737,11460,,M
Company-6,3,19,2020,65-45-12,275,2.16,3.36,74,A/C,RECT,40764,19539,Salesperson22,D0469098,D0469098,1892,,M
Company-6,3,20,2020,65-45-12,14,2.16,3.36,74,A/C,RECT,2078,995,Salesperson22,D0469098,D0469098,1892,,M
Company-6,4,1,2020,65-45-12,187,2.16,3.36,74,A/C,RECT,27590,13286,Salesperson22,D0469098,D0469098,1892,,M
Company-6,4,16,2020,65-45-12,225,2.16,3.36,74,A/C,RECT,33353,15986,Salesperson22,D0469098,D0469098,1892,,M
Company-6,4,23,2020,65-45-12,189,2.16,3.36,74,A/C,RECT,30050,13428,Salesperson22,D0469098,D0469098,1892,,M
Company-6,4,29,2020,65-45-12,13,2.16,3.36,74,A/C,RECT,1916,924,Salesperson22,D0469098,D0469098,1892,,M
Company-6,4,30,2020,65-45-12,187,2.16,3.36,74,A/C,RECT,27540,13286,Salesperson22,D0469098,D0469098,1892,,M
Company-6,5,11,2020,65-45-12,290,2.16,3.36,74,A/C,RECT,52488,20604,Salesperson22,D0469098,D0469098,1892,,M
Company-6,5,21,2020,65-45-12,199,2.16,3.36,74,A/C,RECT,33317,14139,Salesperson22,D0469098,D0469098,1892,,M
Company-6,5,27,2020,65-45-12,126,2.16,3.36,74,A/C,RECT,22370,8952,Salesperson22,D0469098,D0469098,1892,,M
Company-6,5,28,2020,65-45-12,95,2.16,3.36,74,A/C,RECT,17753,6750,Salesperson22,D0469098,D0469098,1892,,M
Company-6,6,11,2020,65-45-12,200,2.16,3.36,74,A/C,RECT,29415,14210,Salesperson22,D0469098,D0469098,1892,,M
Company-6,6,18,2020,65-45-12,246,2.16,3.36,74,A/C,RECT,40086,17478,Salesperson22,D0469098,D0469098,1892,,M
Company-6,6,24,2020,65-45-12,178,2.16,3.36,74,A/C,RECT,32690,12647,Salesperson22,D0469098,D0469098,1892,,M
Company-6,6,25,2020,65-45-12,268,2.16,3.36,74,A/C,RECT,39680,19041,Salesperson22,D0469098,D0469098,1892,,M
Company-6,7,7,2020,65-45-12,13,2.16,3.36,74,A/C,RECT,7341,924,Salesperson22,D0469098,D0469098,1892,,M
Company-6,7,7,2020,65-45-12,196,2.16,3.36,74,A/C,RECT,34397,13926,Salesperson22,D0469098,D0469098,10559,,M
Company-6,7,8,2020,65-45-12,289,2.16,3.36,74,A/C,RECT,46281,20533,Salesperson22,D0469098,D0469098,10559,,M
Company-6,8,4,2020,65-45-12,160,2.16,3.36,74,A/C,RECT,32192,11368,Salesperson22,D0469098,D0469098,10559,,M
Company-169,6,29,2020,65-45-12,30,2.25,3.25,1.63,A/C,RECT,100,142,Salesperson6,393087,393087,10086,SAW CUT,
Company-128,7,29,2020,65-45-12,1,2.25,3.25,6.875,A/C,RECT,13,91,Salesperson7,395956,395956,12313,SAW CUT,
Company-272,7,13,2020,65-45-12,1,2.25,3.25,60,A/C,RECT,116,113,Salesperson7,394171,394171,10978,SAW CUT,
Company-40,3,11,2020,65-45-12,4,2.25,3.25,72,A/C,RECT,564,340,Salesperson2,D0105671,D0105671,856,,M
Company-2,3,18,2020,65-45-12,48,2.25,3.25,72,A/C,RECT,6869,4327,Salesperson1,30102900,D0105671,1726,,M
Company-1817,3,27,2020,65-45-12,2,2.25,3.25,72,A/C,RECT,286,234,Salesperson7,D0105671,D0105671,2885,,M
Company-1750,4,14,2020,65-45-12,1,2.25,3.25,72,A/C,RECT,142,123,Salesperson6,D0105671,D0105671,4322,,M
Company-1750,4,27,2020,65-45-12,3,2.25,3.25,72,A/C,RECT,418,370,Salesperson6,D0105671,D0105671,5368,,M
Company-535,5,1,2020,65-45-12,1,2.25,3.25,72,A/C,RECT,146,0,Salesperson5,D0105671,D0105671,5765,,M
Company-1817,5,15,2020,65-45-12,3,2.25,3.25,72,A/C,RECT,426,387,Salesperson7,D0105671,D0105671,6971,,M
Company-1817,7,14,2020,65-45-12,6,2.25,3.25,72,A/C,RECT,852,774,Salesperson7,D0105671,D0105671,11170,,M
Company-1274,7,23,2020,65-45-12,1,2.25,3.25,72,A/C,RECT,144,151,Salesperson17,D0105671,D0105671,11966,,M
Company-2,7,29,2020,65-45-12,48,2.25,3.25,72,A/C,RECT,6848,4327,Salesperson1,30102900,D0105671,12298,,M
Company-40,7,29,2020,65-45-12,10,2.25,3.25,72,A/C,RECT,1420,849,Salesperson2,D0105671,D0105671,12307,,M
Company-2,3,12,2020,65-45-12,21,2.25,3.75,72,A/C,RECT,3408,2239,Salesperson1,30103150,D0082863,1021,,M
Company-2,3,17,2020,65-45-12,20,2.25,3.75,72,A/C,RECT,3328,2132,Salesperson1,30103150,D0082863,1541,,M
Company-2,4,8,2020,65-45-12,42,2.25,3.75,72,A/C,RECT,7042,4477,Salesperson1,30103150,D0082863,3778,,M
Company-2,4,14,2020,65-45-12,77,2.25,3.75,72,A/C,RECT,22836,8208,Salesperson1,30103150,D0082863,4224,,M
Company-98,4,15,2020,65-45-12,1,2.25,3.75,72,A/C,RECT,162,121,Salesperson7,6124227,D0082863,4350,,M
Company-2,5,13,2020,65-45-12,69,2.25,3.75,72,A/C,RECT,11579,7355,Salesperson1,30103150,D0082863,6616,,M
Company-98,5,14,2020,65-45-12,1,2.25,3.75,72,A/C,RECT,164,121,Salesperson7,6124227,D0082863,6774,,M
Company-2,5,27,2020,65-45-12,57,2.25,3.75,72,A/C,RECT,9599,6076,Salesperson1,30103150,D0082863,7544,,M
Company-1237,6,2,2020,65-45-12,1,2.25,3.75,72,A/C,RECT,164,121,Salesperson6,179,D0082863,8027,,M
Company-2,6,9,2020,65-45-12,80,2.25,3.75,72,A/C,RECT,13552,8528,Salesperson1,30103150,D0082863,8521,,M
Company-1237,6,11,2020,65-45-12,4,2.25,3.75,72,A/C,RECT,674,482,Salesperson6,179,D0082863,8839,,M
Company-1237,7,7,2020,65-45-12,1,2.25,3.75,72,A/C,RECT,164,121,Salesperson6,179,D0082863,10620,,M
Company-2,3,9,2020,65-45-12,25,2.25,4.25,72,A/C,RECT,4749,2952,Salesperson1,30103400,D0079450,583,,M
Company-98,3,9,2020,65-45-12,1,2.25,4.25,72,A/C,RECT,186,130,Salesperson7,6124226,D0079450,605,,M
Company-1237,3,10,2020,65-45-12,2,2.25,4.25,72,A/C,RECT,380,306,Salesperson6,180,D0079450,813,,M
Company-1237,3,11,2020,65-45-12,4,2.25,4.25,72,A/C,RECT,756,519,Salesperson6,180,D0079450,963,,M
Company-61,3,17,2020,65-45-12,3,2.25,4.25,72,A/C,RECT,572,354,Salesperson12,4512225425,D0079450,1579,,M
Company-1237,3,18,2020,65-45-12,2,2.25,4.25,72,A/C,RECT,368,259,Salesperson6,180,D0079450,1842,,M
Company-1237,3,23,2020,65-45-12,2,2.25,4.25,72,A/C,RECT,382,259,Salesperson6,180,D0079450,2291,,M
Company-28,3,24,2020,65-45-12,25,2.25,4.25,72,A/C,RECT,4761,2952,Salesperson3,551373,D0079450,2338,,M
Company-335,3,27,2020,65-45-12,4,2.25,4.25,72,A/C,RECT,748,614,Salesperson6,D0079450,D0079450,2797,,M
Company-1237,4,2,2020,65-45-12,4,2.25,4.25,72,A/C,RECT,763,519,Salesperson6,180,D0079450,3367,,M
Company-1237,4,9,2020,65-45-12,4,2.25,4.25,72,A/C,RECT,762,519,Salesperson6,180,D0079450,4077,,M
Company-2,4,14,2020,65-45-12,25,2.25,4.25,72,A/C,RECT,4740,2952,Salesperson1,30103400,D0079450,4223,,M
Company-98,4,30,2020,65-45-12,2,2.25,4.25,72,A/C,RECT,382,259,Salesperson7,6124226,D0079450,1581,,M
Company-1237,5,4,2020,65-45-12,2,2.25,4.25,72,A/C,RECT,380,259,Salesperson6,180,D0079450,5888,,M
Company-1840,5,4,2020,65-45-12,2,2.25,4.25,72,A/C,RECT,380,380,Salesperson13,D0079450,D0079450,5919,,M
Company-1237,5,21,2020,65-45-12,2,2.25,4.25,72,A/C,RECT,376,259,Salesperson6,180,D0079450,7346,,M
Company-1237,6,2,2020,65-45-12,1,2.25,4.25,72,A/C,RECT,186,130,Salesperson6,180,D0079450,8027,,M
Company-1237,6,9,2020,65-45-12,1,2.25,4.25,72,A/C,RECT,186,130,Salesperson6,180,D0079450,8594,,M
Company-1237,6,16,2020,65-45-12,1,2.25,4.25,72,A/C,RECT,192,130,Salesperson6,180,D0079450,9119,,M
Company-1237,6,18,2020,65-45-12,9,2.25,4.25,72,A/C,RECT,1710,1167,Salesperson6,180,D0079450,9395,,M
Company-40,6,22,2020,65-45-12,10,2.25,4.25,72,A/C,RECT,1852,1124,Salesperson2,D0079450,D0079450,8783,,M
Company-32,6,25,2020,65-45-12,12,2.25,4.25,72,A/C,RECT,2298,1417,Salesperson11,551373,D0079450,9838,,M
Company-40,6,30,2020,65-45-12,10,2.25,4.25,72,A/C,RECT,1850,1124,Salesperson2,D0079450,D0079450,10166,,M
Company-1237,7,7,2020,65-45-12,2,2.25,4.25,72,A/C,RECT,372,259,Salesperson6,180,D0079450,10620,,M
Company-2,7,24,2020,65-45-12,1,2.25,4.25,72,A/C,RECT,190,118,Salesperson1,30103400,D0079450,12003,,M
Company-2,7,29,2020,65-45-12,20,2.25,4.25,72,A/C,RECT,3830,2362,Salesperson1,30103400,D0079450,12297,,M
Company-2,7,30,2020,65-45-12,24,2.25,4.25,72,A/C,RECT,5322,2834,Salesperson1,30103400,D0079450,12458,,M
Company-1008,3,24,2020,65-45-12,800,2.55,2.93,1.525,A/C,RECT,2453,3528,Salesperson8,190010,D0543059,2416,SAW CUT,
Company-98,3,17,2020,65-45-12,11,2.55,2.93,74,A/C,RECT,1662,1141,Salesperson7,6124255,D0102146,1581,,M
Company-375,6,3,2020,65-45-12,5,2.55,2.93,74,A/C,RECT,582,676,Salesperson13,D0102146,D0102146,8098,,M
Company-40,6,22,2020,65-45-12,15,2.55,2.93,74,A/C,RECT,2240,1342,Salesperson2,D0102146,D0102146,8782,,M
Company-40,6,30,2020,65-45-12,15,2.55,2.93,74,A/C,RECT,2248,1342,Salesperson2,D0102146,D0102146,10166,,M
Company-3,4,20,2020,65-45-12,39,2.55,2.93,144,A/C,RECT,11265,6664,Salesperson2,61895-12',D0175474,4718,,M
Company-3,5,5,2020,65-45-12,39,2.55,2.93,144,A/C,RECT,11299,6664,Salesperson2,61895-12',D0175474,4718,,M
Company-2,3,4,2020,65-45-12,60,2.75,3,72,A/C,RECT,9586,5810,Salesperson1,30106700,D0105857,144,,M
Company-2,3,10,2020,65-45-12,30,2.75,3,72,A/C,RECT,4812,2905,Salesperson1,30106700,D0105857,696,,M
Company-1237,3,10,2020,65-45-12,2,2.75,3,72,A/C,RECT,320,252,Salesperson6,183,D0105857,813,,M
Company-98,4,15,2020,65-45-12,2,2.75,3,72,A/C,RECT,328,212,Salesperson7,6124275,D0105857,4350,,M
Company-546,4,17,2020,65-45-12,10,2.75,3,72,A/C,RECT,1598,1259,Salesperson7,D0105857,D0105857,4629,,M
Company-1750,5,5,2020,65-45-12,2,2.75,3,72,A/C,RECT,324,271,Salesperson6,D0105857,D0105857,6027,,M
Company-1237,5,28,2020,65-45-12,1,2.75,3,72,A/C,RECT,158,106,Salesperson6,183,D0105857,7762,,M
Company-1237,6,2,2020,65-45-12,1,2.75,3,72,A/C,RECT,161,106,Salesperson6,183,D0105857,8027,,M
Company-40,6,22,2020,65-45-12,2,2.75,3,72,A/C,RECT,324,193,Salesperson2,D0105857,D0105857,7796,,M
Company-1237,6,25,2020,65-45-12,1,2.75,3,72,A/C,RECT,162,106,Salesperson6,183,D0105857,9934,,M
Company-40,7,15,2020,65-45-12,4,2.75,3,72,A/C,RECT,648,387,Salesperson2,D0105857,D0105857,11186,,M
Company-98,7,21,2020,65-45-12,2,2.75,3,72,A/C,RECT,322,212,Salesperson7,6124275,D0105857,11692,,M
Company-68,3,18,2020,65-45-12,45,2.75,3.75,144,A/C,RECT,18316,9271,Salesperson2,IF234334V3,D0534366,1735,,M
Company-2,4,30,2020,65-45-12,3,2.75,3.75,144,A/C,RECT,1220,772,Salesperson1,30106923,D0534366,5631,,M
Company-2,5,13,2020,65-45-12,61,2.75,3.75,144,A/C,RECT,24760,15701,Salesperson1,30106923,D0534366,5631,,M
Company-2,7,29,2020,65-45-12,4,2.75,3.75,144,A/C,RECT,1626,15839995438,Salesperson1,30106923,D0534366,12299,,M
Company-6,3,20,2020,65-45-12,54,2.75,4.25,72,A/C,RECT,12566,5664,Salesperson22,D0178714,D0178714,2034,,M
Company-6,3,20,2020,65-45-12,48,2.75,4.25,72,A/C,RECT,11166,5034,Salesperson22,D0178714,D0178714,2035,,M
Company-871,3,31,2020,65-45-12,2,2.75,4.25,72,A/C,RECT,456,374,Salesperson13,D0178714,D0178714,3101,,M
Company-6,4,8,2020,65-45-12,32,2.75,4.25,72,A/C,RECT,7448,3356,Salesperson22,D0178714,D0178714,2035,,M
Company-2,4,14,2020,65-45-12,6,2.75,4.25,72,A/C,RECT,1406,777,Salesperson1,30106925,D0178714,4230,,M
Company-6,4,16,2020,65-45-12,20,2.75,4.25,72,A/C,RECT,4661,2098,Salesperson22,D0178714,D0178714,2035,,M
Company-6,4,22,2020,65-45-12,48,2.75,4.25,72,A/C,RECT,11238,5034,Salesperson22,D0178714,D0178714,2035,,M
Company-6,4,29,2020,65-45-12,28,2.75,4.25,72,A/C,RECT,12132,2937,Salesperson22,D0178714,D0178714,2035,,M
Company-6,4,30,2020,65-45-12,20,2.75,4.25,72,A/C,RECT,4672,2098,Salesperson22,D0178714,D0178714,2035,,M
Company-6,5,8,2020,65-45-12,80,2.75,4.25,72,A/C,RECT,18740,8390,Salesperson22,D0178714,D0178714,3789,,M
