Company ,Salesperson ,Total Sales ,Total Lbs ,Sales Mar 2020,Sales Apr 2020,Sales May 2020,Sales Jun 2020,Sales Jul 2020,Sales Aug 2020,Pounds Shipped Mar 2020,Pounds Shipped Apr 2020,Pounds Shipped May 2020,Pounds Shipped Jun 2020,Pounds Shipped Jul 2020,Pounds Shipped Aug 2020
Company-1,Salesperson12,7878.0,21408.0,,,,7878.0,,,,,,21408.0,,
Company-1,Salesperson16,135986.0,371635.0,49379.0,31045.0,32011.0,23551.0,,,136662.0,86791.0,85250.0,62932.0,,
Company-10,Salesperson19,7872.0,8706.0,2984.0,,,4888.0,,,2783.0,,,5923.0,,
Company-100,Salesperson9,3508.0,4907.0,159.0,550.0,,2088.0,,711.0,215.0,274.0,,3440.0,,978.0
Company-1000,Salesperson7,6449.0,10740.0,,269.0,,1545.0,3708.0,927.0,,484.0,,2558.0,6156.0,1542.0
Company-1001,Salesperson6,4394.0,3286.0,,2191.0,,,2203.0,,,1636.0,,,1650.0,
Company-1002,Salesperson6,197.0,294.0,,197.0,,,,,,294.0,,,,
Company-1003,Salesperson7,10109.0,7240.0,929.0,,371.0,8809.0,,,712.0,,252.0,6276.0,,
Company-1004,Salesperson6,3550.0,2589.0,3003.0,,,108.0,,439.0,1885.0,,,126.0,,578.0
Company-1005,Salesperson7,698.0,626.0,217.0,271.0,,,210.0,,304.0,48.0,,,274.0,
Company-1006,Salesperson7,5029.0,879.0,810.0,774.0,982.0,521.0,1165.0,777.0,154.0,142.0,168.0,82.0,201.0,132.0
Company-1007,Salesperson8,4201.0,3280.0,,,2586.0,1131.0,,484.0,,,1668.0,1148.0,,464.0
Company-1008,Salesperson8,186465.0,123160.0,29449.0,32335.0,33884.0,31353.0,46038.0,13406.0,22833.0,20205.0,21894.0,22583.0,26622.0,9023.0
Company-1009,Salesperson13,94.0,28.0,,,,,94.0,,,,,,28.0,
Company-101,Salesperson6,11385.0,19516.0,2528.0,3107.0,1320.0,4430.0,,,4534.0,5846.0,2400.0,6736.0,,
Company-1010,Salesperson8,376.0,52.0,,,,,376.0,,,,,,52.0,
